#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_segmento;Taxa_de_administração;Quantidade_de_grupos_ativos;Quantidade_de_grupos_constituídos_no_mês;Quantidade_de_grupos_encerrados_no_mês;Quantidade_de_cotas_comercializadas_no_mês;Quantidade_de_cotas_excluídas_a_comercializar;Quantidade_acumulada_de_cotas_ativas_contempladas;Quantidade_de_cotas_ativas_não_contempladas;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
GAP ADM CONS LTDA.;45700892;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAP ADM CONS LTDA.;45700892;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAP ADM CONS LTDA.;45700892;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPLAN ADM CONS LTDA;47820097;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPLAN ADM CONS LTDA;47820097;202411;2;10,95054;106;0;0;149;708;13273;3016;16;14435;1430;424;885;10068;14
GAPLAN ADM CONS LTDA;47820097;202411;3;12,23598;24;0;0;12;132;1548;431;2;1842;102;35;204;1119;1
GAPLAN ADM CONS LTDA;47820097;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPLAN ADM CONS LTDA;47820097;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GAPLAN ADM CONS LTDA;47820097;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GLOBO ADM. CONS. LTDA.;85322204;202411;1;22,60683;6;0;0;27;1930;493;1233;9;1309;89;328;3465;212;50
GLOBO ADM. CONS. LTDA.;85322204;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GLOBO ADM. CONS. LTDA.;85322204;202411;3;20,00000;5;0;0;43;1016;678;676;15;1034;120;200;1299;252;59
GLOBO ADM. CONS. LTDA.;85322204;202411;4;20,00000;2;0;0;6;397;425;288;7;593;14;106;679;355;19
GLOBO ADM. CONS. LTDA.;85322204;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GLOBO ADM. CONS. LTDA.;85322204;202411;6;20,00000;3;1;0;75;263;325;556;14;655;70;156;474;72;21
GMAC ADM CONS  LTDA;49937055;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GMAC ADM CONS  LTDA;49937055;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GMAC ADM CONS  LTDA;49937055;202411;3;18,58234;250;3;3;6090;71181;53042;66419;749;104088;5160;10213;268652;12976;5484
GMAC ADM CONS  LTDA;49937055;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GMAC ADM CONS  LTDA;49937055;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GMAC ADM CONS  LTDA;49937055;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRAVEL ADM CONS LTDA;91338228;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRAVEL ADM CONS LTDA;91338228;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRAVEL ADM CONS LTDA;91338228;202411;3;11,84570;5;0;0;74;398;1206;1429;22;818;400;843;607;365;18
GRAVEL ADM CONS LTDA;91338228;202411;4;9,33500;1;0;0;0;172;798;194;3;100;288;50;343;383;4
GRAVEL ADM CONS LTDA;91338228;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GRAVEL ADM CONS LTDA;91338228;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GROSCON ADM. CONS. LTDA.;26228270;202411;1;23,24868;1;0;0;21;301;301;266;2;494;22;51;3398;192;33
GROSCON ADM. CONS. LTDA.;26228270;202411;2;20,77097;1;0;0;2;141;106;49;1;131;17;7;817;64;2
GROSCON ADM. CONS. LTDA.;26228270;202411;3;18,78181;5;0;0;37;263;738;727;13;1209;114;142;2614;274;41
GROSCON ADM. CONS. LTDA.;26228270;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GROSCON ADM. CONS. LTDA.;26228270;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GROSCON ADM. CONS. LTDA.;26228270;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GUARAPIRANGA ADM. CONSÓRCIOS;26253658;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GUARAPIRANGA ADM. CONSÓRCIOS;26253658;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GUARAPIRANGA ADM. CONSÓRCIOS;26253658;202411;3;16,64950;5;0;0;8;166;1138;454;12;1530;19;43;1121;646;92
GUARAPIRANGA ADM. CONSÓRCIOS;26253658;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GUARAPIRANGA ADM. CONSÓRCIOS;26253658;202411;5;20,43060;1;0;0;2;29;60;95;3;142;3;10;61;2;14
GUARAPIRANGA ADM. CONSÓRCIOS;26253658;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H. CONSÓRCIO;03586655;202411;1;22,04098;1;0;0;0;278;121;1;0;105;17;0;956;57;5
H. CONSÓRCIO;03586655;202411;2;17,56667;1;0;0;0;225;15;0;0;12;3;0;248;8;0
H. CONSÓRCIO;03586655;202411;3;10,92381;5;0;0;0;180;420;0;0;253;167;0;432;253;0
H. CONSÓRCIO;03586655;202411;4;15,00000;2;0;0;0;62;158;0;0;84;74;0;181;84;0
H. CONSÓRCIO;03586655;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H. CONSÓRCIO;03586655;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HS ADM CONS LTDA;73516106;202411;1;21,97956;124;1;0;5708;56197;25407;140926;593;155576;2621;8136;156221;3774;8838
HS ADM CONS LTDA;73516106;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HS ADM CONS LTDA;73516106;202411;3;14,84196;140;0;2;3677;25000;39941;94575;1111;123665;4844;6007;97996;8701;4619
HS ADM CONS LTDA;73516106;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HS ADM CONS LTDA;73516106;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
HS ADM CONS LTDA;73516106;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IRMÃOS DE MARCO ADM CONS LTDA;03403333;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IRMÃOS DE MARCO ADM CONS LTDA;03403333;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IRMÃOS DE MARCO ADM CONS LTDA;03403333;202411;3;12,00000;1;0;0;0;19;83;27;2;93;12;5;19;24;9
IRMÃOS DE MARCO ADM CONS LTDA;03403333;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IRMÃOS DE MARCO ADM CONS LTDA;03403333;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IRMÃOS DE MARCO ADM CONS LTDA;03403333;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAÚ ADM DE CONSÓRCIOS LTDA;00000776;202411;1;21,64890;254;0;0;8547;76037;57421;77849;831;128006;3216;4048;403655;15934;13662
ITAÚ ADM DE CONSÓRCIOS LTDA;00000776;202411;2;13,58445;8;0;0;110;43;2398;3742;71;5561;420;159;4653;204;241
ITAÚ ADM DE CONSÓRCIOS LTDA;00000776;202411;3;18,31350;517;1;7;11467;5113;232640;215252;6408;409904;27155;10833;368551;61843;30842
ITAÚ ADM DE CONSÓRCIOS LTDA;00000776;202411;4;27,98179;66;0;0;2538;831;18182;46826;870;60923;2156;1929;74706;1581;4550
ITAÚ ADM DE CONSÓRCIOS LTDA;00000776;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAÚ ADM DE CONSÓRCIOS LTDA;00000776;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAÚ UNIBANCO VEÍCULOS ADM CONS LTDA.;42421776;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAÚ UNIBANCO VEÍCULOS ADM CONS LTDA.;42421776;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAÚ UNIBANCO VEÍCULOS ADM CONS LTDA.;42421776;202411;3;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAÚ UNIBANCO VEÍCULOS ADM CONS LTDA.;42421776;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAÚ UNIBANCO VEÍCULOS ADM CONS LTDA.;42421776;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAÚ UNIBANCO VEÍCULOS ADM CONS LTDA.;42421776;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KLUBI;41629070;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KLUBI;41629070;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KLUBI;41629070;202411;3;16,54415;2;0;0;511;3977;1206;3841;46;4050;33;964;6556;186;192
KLUBI;41629070;202411;4;2,65525;2;0;0;69;10;3;2117;0;92;1;2027;10;0;1
KLUBI;41629070;202411;5;48,69027;28;0;0;9838;34993;982;27959;218;18718;91;10132;40222;54;487
KLUBI;41629070;202411;6;31,98467;1;0;0;38;51;0;178;0;66;0;112;51;0;0
KSK ADM CONS LTDA.;62798475;202411;1;24,94107;6;0;0;520;861;514;6203;17;4442;216;2059;21279;13;106
KSK ADM CONS LTDA.;62798475;202411;2;24,22890;4;0;0;148;344;569;2253;14;2228;154;440;14874;17;71
KSK ADM CONS LTDA.;62798475;202411;3;19,62400;10;0;0;230;3147;2198;2982;61;3522;654;1004;36804;239;266
KSK ADM CONS LTDA.;62798475;202411;4;21,29000;1;0;0;32;285;15;254;1;187;2;80;375;0;6
KSK ADM CONS LTDA.;62798475;202411;5;2,41590;1;0;0;1;31;6;33;1;29;0;10;31;0;5
KSK ADM CONS LTDA.;62798475;202411;6;20,50690;1;0;0;31;412;70;220;4;220;19;51;871;0;20
LUIZA ADM. CONS. LTDA;60250776;202411;1;19,83870;22;0;0;1806;17726;7102;22471;125;25033;585;3955;67566;1770;1799
LUIZA ADM. CONS. LTDA;60250776;202411;2;15,19089;3;0;0;139;316;1031;2133;19;2717;122;325;3868;351;110
LUIZA ADM. CONS. LTDA;60250776;202411;3;18,00267;43;0;0;1918;4350;21550;24573;560;39890;2106;4127;44806;8159;2667
LUIZA ADM. CONS. LTDA;60250776;202411;4;21,07409;26;0;1;743;4802;9135;6864;255;13546;928;1525;15838;3872;1476
LUIZA ADM. CONS. LTDA;60250776;202411;5;24,15433;13;0;1;182;1872;2316;1851;98;3489;221;457;3607;1136;468
LUIZA ADM. CONS. LTDA;60250776;202411;6;20,51684;9;0;0;96;1515;2444;1509;96;3322;343;288;3439;597;505
MAGGI ADM CONS LTDA;04250224;202411;1;21,71298;9;0;0;214;2330;1969;4184;43;5341;115;697;5477;849;288
MAGGI ADM CONS LTDA;04250224;202411;2;13,57536;39;0;0;203;3500;10945;8097;229;17277;853;912;8782;5261;733
MAGGI ADM CONS LTDA;04250224;202411;3;13,02685;20;0;0;281;1848;8731;4760;141;12269;541;681;7642;5246;330
MAGGI ADM CONS LTDA;04250224;202411;4;9,99899;3;1;0;217;134;158;1818;23;1860;5;111;236;7;38
MAGGI ADM CONS LTDA;04250224;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MAGGI ADM CONS LTDA;04250224;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MASSEY FERGUSON ADM DE CONS LTDA;45793395;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MASSEY FERGUSON ADM DE CONS LTDA;45793395;202411;2;13,86518;25;0;0;142;1857;17185;6238;229;21287;1268;868;11923;11075;815
MASSEY FERGUSON ADM DE CONS LTDA;45793395;202411;3;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MASSEY FERGUSON ADM DE CONS LTDA;45793395;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MASSEY FERGUSON ADM DE CONS LTDA;45793395;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MASSEY FERGUSON ADM DE CONS LTDA;45793395;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MENEGALLI ADM CONS LTDA;76853043;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MENEGALLI ADM CONS LTDA;76853043;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MENEGALLI ADM CONS LTDA;76853043;202411;3;14,77690;10;0;0;10;12;893;725;22;1258;229;131;480;274;73
MENEGALLI ADM CONS LTDA;76853043;202411;4;18,00000;15;1;0;71;35;1121;857;35;1576;234;168;695;372;118
MENEGALLI ADM CONS LTDA;76853043;202411;5;15,32200;3;0;0;16;3;314;332;8;457;136;53;209;47;22
MENEGALLI ADM CONS LTDA;76853043;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCABENCO;46349106;202411;1;17,38931;1;0;0;0;169;218;68;1;239;37;10;513;100;15
MERCABENCO;46349106;202411;2;12,46484;24;1;0;105;868;4790;1730;27;4730;1256;534;4904;2865;127
MERCABENCO;46349106;202411;3;12,55273;6;0;0;27;103;3879;778;36;4042;557;58;2883;2834;154
MERCABENCO;46349106;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCABENCO;46349106;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCABENCO;46349106;202411;6;12,45238;1;0;0;0;9;83;1;0;80;4;0;13;78;0
MOTOASA ADM. CONS. LTDA;05126027;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MOTOASA ADM. CONS. LTDA;05126027;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MOTOASA ADM. CONS. LTDA;05126027;202411;3;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MOTOASA ADM. CONS. LTDA;05126027;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MOTOASA ADM. CONS. LTDA;05126027;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MOTOASA ADM. CONS. LTDA;05126027;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MULTIMARCAS ADM.CONS.LTDA.;04124922;202411;1;22,83222;32;0;0;1290;27119;1980;8553;32;7969;461;2103;102766;242;721
MULTIMARCAS ADM.CONS.LTDA.;04124922;202411;2;17,72450;7;0;0;130;5509;842;980;8;1277;240;305;27938;101;135
MULTIMARCAS ADM.CONS.LTDA.;04124922;202411;3;18,00690;25;0;0;1076;18334;4758;6441;69;7977;1236;1986;72397;1523;570
MULTIMARCAS ADM.CONS.LTDA.;04124922;202411;4;16,61060;16;0;1;345;9994;4659;2250;71;4769;1365;775;44080;1508;676
MULTIMARCAS ADM.CONS.LTDA.;04124922;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MULTIMARCAS ADM.CONS.LTDA.;04124922;202411;6;16,00000;2;0;0;41;556;53;171;2;141;24;59;923;2;26
NOVOTEMPO ADM CONS;05395814;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOVOTEMPO ADM CONS;05395814;202411;2;13,74210;13;0;0;98;1034;3287;1571;16;4419;239;200;2851;2258;107
NOVOTEMPO ADM CONS;05395814;202411;3;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOVOTEMPO ADM CONS;05395814;202411;4;20,93150;1;0;0;1;74;159;38;2;183;5;9;97;120;14
NOVOTEMPO ADM CONS;05395814;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NOVOTEMPO ADM CONS;05395814;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPÇÃO ADM. CONSÓRCIO;20919916;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPÇÃO ADM. CONSÓRCIO;20919916;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPÇÃO ADM. CONSÓRCIO;20919916;202411;3;14,86480;3;0;1;10;99;355;351;12;579;43;84;300;75;29
OPÇÃO ADM. CONSÓRCIO;20919916;202411;4;20,35577;8;0;0;79;76;1889;808;33;2339;204;154;2064;1012;125
OPÇÃO ADM. CONSÓRCIO;20919916;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OPÇÃO ADM. CONSÓRCIO;20919916;202411;6;18,02027;1;0;0;2;46;35;39;1;62;6;6;57;2;9
PORTO SEGURO ADM. CONS. LTDA;48041735;202411;1;21,14926;322;3;2;3634;8990;67114;150800;1042;195603;3662;18649;160574;28795;16675
PORTO SEGURO ADM. CONS. LTDA;48041735;202411;2;13,93608;32;3;0;504;336;3112;10703;133;12191;377;1247;7439;456;943
PORTO SEGURO ADM. CONS. LTDA;48041735;202411;3;17,16843;413;2;11;5323;5266;65969;117404;2375;158084;6453;18836;85854;21506;13462
PORTO SEGURO ADM. CONS. LTDA;48041735;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PORTO SEGURO ADM. CONS. LTDA;48041735;202411;5;22,00000;4;0;1;0;82;269;3;5;253;17;2;281;232;79
PORTO SEGURO ADM. CONS. LTDA;48041735;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PORTOBENS ADM CONS LTDA;87433413;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PORTOBENS ADM CONS LTDA;87433413;202411;2;13,72419;67;2;0;220;576;7022;4261;112;10699;295;289;3352;2967;2152
PORTOBENS ADM CONS LTDA;87433413;202411;3;14,88477;5;0;0;90;13;2023;1231;19;3037;123;94;1626;1089;581
PORTOBENS ADM CONS LTDA;87433413;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PORTOBENS ADM CONS LTDA;87433413;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PORTOBENS ADM CONS LTDA;87433413;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRIMO ROSSI ADM. CONS. LTDA;51597300;202411;1;21,86755;3;0;0;29;1391;3079;819;9;3542;221;135;6999;2168;160
PRIMO ROSSI ADM. CONS. LTDA;51597300;202411;2;14,29965;12;0;0;269;384;6298;4975;64;9569;919;785;6493;3175;372
PRIMO ROSSI ADM. CONS. LTDA;51597300;202411;3;21,09036;7;0;0;134;683;3438;2503;74;4823;433;685;4873;1519;200
PRIMO ROSSI ADM. CONS. LTDA;51597300;202411;4;21,83150;2;0;0;134;1085;4768;2180;48;5523;774;651;8176;2763;212
PRIMO ROSSI ADM. CONS. LTDA;51597300;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PRIMO ROSSI ADM. CONS. LTDA;51597300;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROMOVE;09111444;202411;1;25,00000;2;0;0;169;86;58;1489;4;839;7;701;4355;0;44
PROMOVE;09111444;202411;2;25,00000;2;0;0;183;41;36;1161;2;584;5;608;1726;0;17
PROMOVE;09111444;202411;3;20,59930;8;0;0;705;421;627;4792;29;3159;96;2164;17313;95;280
PROMOVE;09111444;202411;4;21,45120;2;0;0;181;274;441;901;14;934;90;318;3677;109;105
PROMOVE;09111444;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PROMOVE;09111444;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
QUALINVEST ADM CONS LTDA.;27836377;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
QUALINVEST ADM CONS LTDA.;27836377;202411;2;15,52901;2;0;0;1;1;185;108;3;293;0;0;1;158;9
QUALINVEST ADM CONS LTDA.;27836377;202411;3;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
QUALINVEST ADM CONS LTDA.;27836377;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
QUALINVEST ADM CONS LTDA.;27836377;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
QUALINVEST ADM CONS LTDA.;27836377;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RANDON ADM CONSÓRCIOS LTDA.;91108027;202411;1;20,73276;19;1;1;608;1049;5232;12283;79;15920;482;1113;15067;1225;2045
RANDON ADM CONSÓRCIOS LTDA.;91108027;202411;2;12,44654;131;0;2;1400;3488;32993;40763;567;67237;2771;3748;18647;11302;8941
RANDON ADM CONSÓRCIOS LTDA.;91108027;202411;3;13,94054;12;1;0;324;763;3505;4850;87;7421;341;593;3781;1071;629
RANDON ADM CONSÓRCIOS LTDA.;91108027;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RANDON ADM CONSÓRCIOS LTDA.;91108027;202411;5;9,70000;1;0;0;1;13;117;96;4;197;7;9;41;22;37
RANDON ADM CONSÓRCIOS LTDA.;91108027;202411;6;13,01215;1;0;0;4;33;116;65;5;155;17;9;43;7;36
RECON ADM. DE CONSORCIOS LTDA;23767155;202411;1;21,88494;5;0;0;210;4748;1989;3694;39;4765;282;636;27547;558;517
RECON ADM. DE CONSORCIOS LTDA;23767155;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RECON ADM. DE CONSORCIOS LTDA;23767155;202411;3;18,54622;22;0;1;715;9369;8658;6805;165;12567;1319;1577;35647;3685;880
RECON ADM. DE CONSORCIOS LTDA;23767155;202411;4;18,45409;4;0;0;153;755;1223;1391;46;2104;196;314;4039;341;207
RECON ADM. DE CONSORCIOS LTDA;23767155;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RECON ADM. DE CONSORCIOS LTDA;23767155;202411;6;19,14063;1;0;0;22;173;147;109;8;213;21;22;496;25;56
REDE OESTE ADM DE CONS LTDA;92002609;202411;1;21,70240;1;0;0;1;219;77;417;2;407;15;72;783;1;23
REDE OESTE ADM DE CONS LTDA;92002609;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REDE OESTE ADM DE CONS LTDA;92002609;202411;3;14,59460;15;0;1;42;227;1851;2628;62;3714;326;439;2517;545;148
REDE OESTE ADM DE CONS LTDA;92002609;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REDE OESTE ADM DE CONS LTDA;92002609;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REDE OESTE ADM DE CONS LTDA;92002609;202411;6;18,97920;1;0;0;0;18;44;4;2;34;12;2;26;14;2
REDENÇÃO ADM DE CONSÓRCIO;62246228;202411;1;0,00000;0;0;0;11;0;0;0;0;0;0;0;0;0;0
REDENÇÃO ADM DE CONSÓRCIO;62246228;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REDENÇÃO ADM DE CONSÓRCIO;62246228;202411;3;16,78056;8;0;0;47;646;850;744;18;1419;103;72;1963;361;69
REDENÇÃO ADM DE CONSÓRCIO;62246228;202411;4;17,78957;1;0;0;1;107;87;28;4;101;12;2;217;29;10
REDENÇÃO ADM DE CONSÓRCIO;62246228;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REDENÇÃO ADM DE CONSÓRCIO;62246228;202411;6;8,73217;3;0;0;0;1;63;44;3;105;1;1;4;0;1
REMAZA ADM CONS LTDA;62354055;202411;1;20,20749;17;0;0;156;973;4386;4413;33;8374;0;425;35898;973;831
REMAZA ADM CONS LTDA;62354055;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REMAZA ADM CONS LTDA;62354055;202411;3;19,75217;8;0;0;108;418;2512;1899;37;4097;0;314;10701;1100;299
REMAZA ADM CONS LTDA;62354055;202411;4;20,40744;11;0;0;50;39;1512;845;24;2178;0;179;5033;602;331
REMAZA ADM CONS LTDA;62354055;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REMAZA ADM CONS LTDA;62354055;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RIVEL ADM.CONSORCIOS;80402746;202411;1;20,52173;3;0;0;29;1014;657;1682;12;1974;122;243;3224;226;93
RIVEL ADM.CONSORCIOS;80402746;202411;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RIVEL ADM.CONSORCIOS;80402746;202411;3;11,77354;12;1;0;84;296;853;1154;35;1723;152;132;854;199;126
RIVEL ADM.CONSORCIOS;80402746;202411;4;16,99858;7;0;0;10;448;728;682;26;1166;148;96;917;150;131
RIVEL ADM.CONSORCIOS;80402746;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RIVEL ADM.CONSORCIOS;80402746;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RODOBENS ADM CONSORCIOS LTDA;51855716;202411;1;24,59334;102;1;0;2549;7280;19412;39038;219;54563;834;3053;74239;7159;5280
RODOBENS ADM CONSORCIOS LTDA;51855716;202411;2;15,01809;3;0;0;20;17;324;505;9;757;34;38;544;84;104
RODOBENS ADM CONSORCIOS LTDA;51855716;202411;3;17,05209;159;0;2;1006;2623;19364;17610;255;33151;1604;2219;22203;8244;5860
RODOBENS ADM CONSORCIOS LTDA;51855716;202411;4;19,05866;18;0;0;93;380;3358;1896;57;4711;248;295;4615;1534;840
RODOBENS ADM CONSORCIOS LTDA;51855716;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RODOBENS ADM CONSORCIOS LTDA;51855716;202411;6;25,02317;18;0;0;92;249;1964;1381;40;2634;472;239;3054;626;469
SANTA FÉ ADM CONS LTDA;80674393;202411;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SANTA FÉ ADM CONS LTDA;80674393;202411;2;17,00000;1;1;0;124;0;1;123;1;124;0;0;0;0;1
SANTA FÉ ADM CONS LTDA;80674393;202411;3;12,42810;11;1;0;29;5;157;228;14;359;11;15;7;35;31
SANTA FÉ ADM CONS LTDA;80674393;202411;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SANTA FÉ ADM CONS LTDA;80674393;202411;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SANTA FÉ ADM CONS LTDA;80674393;202411;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SANTANDER BRASIL ADM CONS LTDA;55942312;202411;1;21,16043;118;5;0;7130;40526;19441;73408;817;85566;1180;6103;180881;2887;6720
SANTANDER BRASIL ADM CONS LTDA;55942312;202411;2;10,72121;18;0;0;72;336;8984;3866;144;11392;1268;190;9371;2226;853
SANTANDER BRASIL ADM CONS LTDA;55942312;202411;3;13,89068;200;4;4;6520;5393;176433;101261;4682;247960;23097;6637;238294;61025;21375
SANTANDER BRASIL ADM CONS LTDA;55942312;202411;4;21,34347;5;0;0;169;1223;2059;5554;157;7051;133;429;5284;158;664
