#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_grupo;Código_do_segmento;Número_da_assembléia_geral_ordinária;Valor_médio_do_bem;Índice_de_correção;Taxa_de_administração;Prazo_do_grupo_em_meses;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01031;1;83;726066,58;99;17,35806;200;909;58;31;5;1907;83;159
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01032;1;84;153526,93;99;19,69125;200;2749;230;176;17;5716;167;487
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01033;1;79;324552,29;99;19,58656;200;1012;92;62;7;3797;67;199
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01034;1;71;313446,45;99;19,46956;200;1320;126;93;9;7159;55;302
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01035;1;71;136494,02;99;19,17671;200;1249;67;118;13;3765;53;226
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01036;1;69;144899,03;99;19,49503;200;2461;151;165;16;10327;108;489
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01037;1;67;300906,21;99;19,41941;200;2348;139;143;19;5562;77;410
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01038;1;65;694329,47;99;17,70470;200;2425;125;188;20;9112;64;403
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01039;1;60;290283,77;99;19,05773;200;1072;53;100;6;3159;21;201
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01040;1;59;133717,76;99;18,89502;200;1313;56;81;6;4088;24;260
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01041;1;57;135424,14;99;19,81506;200;953;39;84;6;7832;24;189
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01042;1;55;286593,72;99;19,61160;200;1873;72;176;12;7965;23;321
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01043;1;39;125439,53;99;19,99782;200;1132;32;211;8;8636;2;174
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01044;1;28;228341,90;99;19,71467;200;592;5;153;4;1525;1;53
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01045;1;15;114522,78;99;18,49627;200;1225;2;247;9;839;0;31
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;01047;1;3;207622,45;99;20,60088;200;1697;0;112;4;51;0;7
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;09003;1;150;302428,31;99;6,50000;150;441;8;0;0;111;441;7
CNP CONSORCIO S.A. ADM CONS                                 ;05349595;202411;09004;1;148;297194,75;99;6,50000;150;447;2;0;0;125;407;12
TÁGIDE CONSÓRCIOS                                           ;05551841;202411;00900;1;37;124711,81;1;30,63750;240;64;8;8;0;994;0;24
BB CONSÓRCIOS                                               ;06043050;202411;00558;1;195;265529,92;3;17,04541;200;1082;52;0;0;956;851;92
BB CONSÓRCIOS                                               ;06043050;202411;00559;1;194;353038,42;3;17,18486;200;1091;45;0;0;1408;888;99
BB CONSÓRCIOS                                               ;06043050;202411;00565;1;192;259912,23;3;17,60318;200;1058;48;0;0;1095;801;119
BB CONSÓRCIOS                                               ;06043050;202411;00578;1;189;258570,04;3;18,92484;200;5605;313;4;0;4475;3642;773
BB CONSÓRCIOS                                               ;06043050;202411;00579;1;189;530456,95;3;19,07895;200;4008;229;4;2;2825;2618;581
BB CONSÓRCIOS                                               ;06043050;202411;00588;1;189;117107,54;3;18,51687;200;9072;522;4;2;12807;6333;896
BB CONSÓRCIOS                                               ;06043050;202411;00916;1;150;982014,79;3;16,59529;200;1904;74;22;5;1258;830;414
BB CONSÓRCIOS                                               ;06043050;202411;01189;1;115;268134,53;3;20,73479;180;3844;121;75;14;2762;962;957
BB CONSÓRCIOS                                               ;06043050;202411;01211;1;101;185467,24;3;20,28028;180;3535;100;76;16;3119;721;781
BB CONSÓRCIOS                                               ;06043050;202411;01231;1;89;354566,73;3;19,89280;180;4636;195;140;17;3242;622;1159
BB CONSÓRCIOS                                               ;06043050;202411;01233;1;88;153109,03;3;19,51282;180;3001;85;105;6;2545;431;699
BB CONSÓRCIOS                                               ;06043050;202411;01241;1;87;100186,42;3;14,73680;180;1456;26;18;7;1168;435;281
BB CONSÓRCIOS                                               ;06043050;202411;01244;1;86;100513,97;3;16,30807;180;1445;33;22;4;1278;440;292
BB CONSÓRCIOS                                               ;06043050;202411;01248;1;84;117618,26;3;20,57347;180;1434;30;36;3;1688;297;326
BB CONSÓRCIOS                                               ;06043050;202411;01260;1;80;182039,81;3;20,39717;200;1444;30;25;5;1823;208;337
BB CONSÓRCIOS                                               ;06043050;202411;01266;1;76;232999,67;3;20,09903;200;1446;29;25;6;1623;181;341
BB CONSÓRCIOS                                               ;06043050;202411;01284;1;73;105965,48;3;19,53420;200;1417;28;54;5;1756;214;323
BB CONSÓRCIOS                                               ;06043050;202411;01288;1;70;161392,14;3;20,78460;200;1422;24;54;7;1710;143;319
BB CONSÓRCIOS                                               ;06043050;202411;01301;1;68;124462,71;3;20,53756;200;1810;54;90;4;2342;116;369
BB CONSÓRCIOS                                               ;06043050;202411;01310;1;65;124012,55;3;20,28293;200;1858;41;81;10;2894;162;359
BB CONSÓRCIOS                                               ;06043050;202411;01321;1;62;147132,16;3;17,94023;200;1863;17;116;5;1617;156;410
BB CONSÓRCIOS                                               ;06043050;202411;01335;1;60;157728,02;3;18,69191;200;1812;38;122;11;2197;105;399
BB CONSÓRCIOS                                               ;06043050;202411;01342;1;58;114148,95;3;10,83205;120;1946;34;19;4;866;506;429
BB CONSÓRCIOS                                               ;06043050;202411;01349;1;57;114350,53;3;10,96306;120;1930;30;39;5;952;455;472
BB CONSÓRCIOS                                               ;06043050;202411;01366;1;57;112125,52;3;10,95260;120;1933;29;37;5;838;492;481
BB CONSÓRCIOS                                               ;06043050;202411;01384;1;48;104636,15;3;18,64357;180;1880;44;73;7;1732;101;413
BB CONSÓRCIOS                                               ;06043050;202411;01387;1;44;187385,99;3;17,94434;180;5031;44;263;22;2822;179;970
BB CONSÓRCIOS                                               ;06043050;202411;01388;1;45;100938,57;3;19,70675;180;1819;25;125;3;1638;72;363
BB CONSÓRCIOS                                               ;06043050;202411;01408;1;42;98937,36;3;18,50912;240;6350;43;544;9;2541;28;571
BB CONSÓRCIOS                                               ;06043050;202411;01418;1;40;94465,52;3;24,04264;240;3374;30;299;6;3506;52;387
BB CONSÓRCIOS                                               ;06043050;202411;01428;1;39;99121,39;3;22,22284;240;2096;9;177;19;2082;44;340
BB CONSÓRCIOS                                               ;06043050;202411;01443;1;38;100119,34;3;21,87058;240;3019;43;279;1;3228;34;404
BB CONSÓRCIOS                                               ;06043050;202411;01457;1;37;101727,70;3;20,26112;240;4079;36;270;3;4531;77;659
BB CONSÓRCIOS                                               ;06043050;202411;01464;1;36;94643,91;3;16,65875;180;7633;37;547;46;2526;115;1008
BB CONSÓRCIOS                                               ;06043050;202411;01465;1;37;186233,69;3;18,60321;240;3791;8;307;22;2056;60;504
BB CONSÓRCIOS                                               ;06043050;202411;01467;1;37;96420,95;3;19,35205;240;3135;25;305;8;2166;50;372
BB CONSÓRCIOS                                               ;06043050;202411;01474;1;35;191592,00;3;24,41456;240;3777;35;360;7;3840;45;558
BB CONSÓRCIOS                                               ;06043050;202411;01476;1;36;97888,79;3;22,22025;240;3366;24;295;5;2967;97;492
BB CONSÓRCIOS                                               ;06043050;202411;01488;1;35;99402,34;3;19,66130;240;2485;9;281;3;1863;33;382
BB CONSÓRCIOS                                               ;06043050;202411;01495;1;34;97346,11;3;17,86855;120;3741;52;215;32;1177;144;783
BB CONSÓRCIOS                                               ;06043050;202411;01496;1;34;98368,82;3;22,75508;240;2276;7;253;2;2335;37;361
BB CONSÓRCIOS                                               ;06043050;202411;01505;1;33;95760,02;3;24,39196;240;2124;19;249;11;2694;18;262
BB CONSÓRCIOS                                               ;06043050;202411;01518;1;31;111504,90;3;25,11437;240;1768;24;207;3;2497;25;281
BB CONSÓRCIOS                                               ;06043050;202411;01531;1;30;113966,03;3;23,94201;240;6495;24;607;30;3555;38;543
BB CONSÓRCIOS                                               ;06043050;202411;01541;1;29;120951,44;3;28,35601;240;4988;12;716;26;3904;15;563
BB CONSÓRCIOS                                               ;06043050;202411;01552;1;28;115435,13;3;25,62125;240;2636;32;399;7;2851;26;369
BB CONSÓRCIOS                                               ;06043050;202411;01560;1;27;113013,77;3;25,39825;240;1079;8;185;6;982;13;142
BB CONSÓRCIOS                                               ;06043050;202411;01563;1;26;111929,47;3;26,19212;240;1893;8;274;5;1585;12;219
BB CONSÓRCIOS                                               ;06043050;202411;01575;1;25;92091,51;3;24,10100;240;4017;13;479;18;2374;7;422
BB CONSÓRCIOS                                               ;06043050;202411;01581;1;24;86791,33;3;15,77730;240;7795;7;680;42;2868;86;948
BB CONSÓRCIOS                                               ;06043050;202411;01585;1;24;85718,21;3;13,42267;240;3477;2;388;1;1443;32;483
BB CONSÓRCIOS                                               ;06043050;202411;01591;1;23;83469,82;3;25,74798;240;3507;23;537;10;3387;18;398
BB CONSÓRCIOS                                               ;06043050;202411;01597;1;22;294934,65;3;25,54429;240;5051;14;848;16;2418;18;571
BB CONSÓRCIOS                                               ;06043050;202411;01606;1;21;86087,07;3;25,92110;240;5012;13;547;21;2703;11;392
BB CONSÓRCIOS                                               ;06043050;202411;01611;1;21;246379,62;3;23,97935;240;2789;7;337;12;1352;9;309
BB CONSÓRCIOS                                               ;06043050;202411;01617;1;20;85041,32;3;27,08527;240;3021;10;437;6;2360;2;315
BB CONSÓRCIOS                                               ;06043050;202411;01622;1;19;404915,56;3;22,49443;240;3551;6;445;3;1605;16;369
BB CONSÓRCIOS                                               ;06043050;202411;01626;1;18;81972,49;3;27,92673;240;6220;12;1762;15;3984;11;646
BB CONSÓRCIOS                                               ;06043050;202411;01634;1;17;85119,22;3;25,05057;240;4294;4;625;9;1968;8;368
BB CONSÓRCIOS                                               ;06043050;202411;01640;1;16;150512,86;3;27,77047;240;2543;2;664;2;1164;1;247
BB CONSÓRCIOS                                               ;06043050;202411;01642;1;17;88862,16;3;17,57674;240;3371;11;322;10;1184;6;353
BB CONSÓRCIOS                                               ;06043050;202411;01648;1;16;76164,12;3;26,98019;240;2475;8;416;17;1028;6;164
BB CONSÓRCIOS                                               ;06043050;202411;01657;1;15;84354,44;3;26,19302;240;2289;2;612;4;1151;0;190
BB CONSÓRCIOS                                               ;06043050;202411;01664;1;14;87423,79;3;25,84982;240;6116;7;1360;16;1949;8;402
BB CONSÓRCIOS                                               ;06043050;202411;01671;1;13;81014,53;3;23,27751;240;4350;4;684;21;939;0;270
BB CONSÓRCIOS                                               ;06043050;202411;01673;1;13;143603,00;3;20,96368;240;2547;2;422;8;691;0;198
BB CONSÓRCIOS                                               ;06043050;202411;01678;1;12;79351,94;3;24,52797;240;8564;7;1201;26;1507;6;460
BB CONSÓRCIOS                                               ;06043050;202411;01679;1;12;136254,57;3;24,45359;240;8176;5;1374;30;1443;6;548
BB CONSÓRCIOS                                               ;06043050;202411;01686;1;10;647291,02;3;25,79161;240;2270;1;311;10;284;0;128
BB CONSÓRCIOS                                               ;06043050;202411;01699;1;7;145091,40;3;29,74452;240;1251;1;214;2;195;0;52
BB CONSÓRCIOS                                               ;06043050;202411;01709;1;6;100391,34;3;17,55792;180;4069;0;267;9;279;0;123
BB CONSÓRCIOS                                               ;06043050;202411;01718;1;4;94026,53;3;30,89967;240;1799;1;305;3;125;0;56
BB CONSÓRCIOS                                               ;06043050;202411;01721;1;3;130742,93;3;32,18413;240;2884;0;144;4;85;0;50
CONSORCIO GAZIN                                             ;06044551;202411;180;1;106;143163,24;3;16,90828;180;527;37;35;5;1735;59;95
CONSORCIO GAZIN                                             ;06044551;202411;243;1;58;67082,05;3;21,18324;180;418;11;84;3;1431;7;66
CONSORCIO GAZIN                                             ;06044551;202411;255;1;49;62191,53;3;21,55519;180;368;7;87;7;1565;6;69
CONSORCIO GAZIN                                             ;06044551;202411;276;1;36;145677,91;3;20,89607;200;502;6;103;3;1145;4;37
CONSORCIO GAZIN                                             ;06044551;202411;289;1;25;142251,34;3;21,82417;200;1189;8;371;3;1853;4;57
CONSORCIO GAZIN                                             ;06044551;202411;297;1;12;268440,07;3;22,68830;220;1382;4;439;4;540;0;22
BP                                                          ;06181431;202411;2000;1;35;188996,00;3;26,46250;226;457;6;75;2;592;0;31
BP                                                          ;06181431;202411;4000;1;30;99259,00;3;21,68200;200;147;2;40;1;1327;0;10
BP                                                          ;06181431;202411;4001;1;30;252196,00;3;25,24580;200;85;5;124;0;1529;0;14
BP                                                          ;06181431;202411;4002;1;26;97666,00;3;24,83330;220;26;1;3;0;945;0;1
BP                                                          ;06181431;202411;4003;1;15;280575,00;3;25,94760;220;89;2;100;0;228;0;6
BP                                                          ;06181431;202411;4004;1;15;276880,00;3;26,37610;220;15;1;93;0;160;0;1
ADM CONS SICREDI LTDA                                       ;07808907;202411;70016;1;145;400857,92;3;14,00000;180;521;16;1;2;274;296;112
ADM CONS SICREDI LTDA                                       ;07808907;202411;70018;1;138;499021,23;3;14,00000;180;513;19;3;2;299;271;117
ADM CONS SICREDI LTDA                                       ;07808907;202411;70019;1;136;224661,56;3;14,00000;180;527;10;3;2;281;260;98
ADM CONS SICREDI LTDA                                       ;07808907;202411;70020;1;134;490309,05;3;14,00000;180;523;11;4;2;274;273;95
ADM CONS SICREDI LTDA                                       ;07808907;202411;70021;1;131;224892,42;3;12,17736;180;514;14;2;2;213;232;104
ADM CONS SICREDI LTDA                                       ;07808907;202411;70022;1;126;218885,66;3;13,97277;180;518;19;3;2;358;241;115
ADM CONS SICREDI LTDA                                       ;07808907;202411;70023;1;125;477411,27;3;13,98833;180;682;34;4;3;390;293;168
ADM CONS SICREDI LTDA                                       ;07808907;202411;70024;1;123;206110,69;3;13,98444;180;518;17;5;3;313;210;124
ADM CONS SICREDI LTDA                                       ;07808907;202411;70025;1;120;197865,95;3;13,97927;180;510;24;6;2;307;212;134
ADM CONS SICREDI LTDA                                       ;07808907;202411;70026;1;115;199555,99;3;14,01036;180;515;19;6;3;370;175;130
ADM CONS SICREDI LTDA                                       ;07808907;202411;70027;1;115;446247,32;3;14,01077;180;520;15;4;3;291;188;125
ADM CONS SICREDI LTDA                                       ;07808907;202411;70028;1;113;195163,90;3;13,98145;180;513;23;2;3;335;177;133
ADM CONS SICREDI LTDA                                       ;07808907;202411;70029;1;111;427953,47;3;14,00997;180;518;17;5;2;297;156;153
ADM CONS SICREDI LTDA                                       ;07808907;202411;70030;1;111;192957,73;3;14,00934;180;516;16;7;4;315;180;134
ADM CONS SICREDI LTDA                                       ;07808907;202411;70031;1;107;200077,08;3;13,97564;180;515;14;11;3;319;161;135
ADM CONS SICREDI LTDA                                       ;07808907;202411;70032;1;104;436780,45;3;14,01005;180;675;26;18;3;338;187;177
ADM CONS SICREDI LTDA                                       ;07808907;202411;70033;1;104;192545,86;3;13,98712;180;682;24;13;8;422;211;170
ADM CONS SICREDI LTDA                                       ;07808907;202411;70034;1;100;233765,89;3;14,01325;180;656;47;16;5;350;161;194
ADM CONS SICREDI LTDA                                       ;07808907;202411;70035;1;100;110649,86;3;15,94933;200;565;25;10;6;377;117;161
ADM CONS SICREDI LTDA                                       ;07808907;202411;70036;1;99;494897,28;3;13,99157;180;677;22;21;4;331;162;188
ADM CONS SICREDI LTDA                                       ;07808907;202411;70037;1;97;230182,33;3;13,96228;180;675;29;15;7;398;146;187
ADM CONS SICREDI LTDA                                       ;07808907;202411;70038;1;92;110844,92;3;15,93712;200;564;20;14;4;462;76;160
ADM CONS SICREDI LTDA                                       ;07808907;202411;70039;1;90;230590,58;3;14,13399;180;682;16;21;5;356;134;172
ADM CONS SICREDI LTDA                                       ;07808907;202411;70040;1;89;110365,58;3;15,95927;200;567;18;14;2;431;61;163
ADM CONS SICREDI LTDA                                       ;07808907;202411;70041;1;89;462339,56;3;14,03721;180;688;22;8;5;372;123;205
ADM CONS SICREDI LTDA                                       ;07808907;202411;70042;1;85;112054,76;3;16,01669;200;556;26;17;5;413;58;153
ADM CONS SICREDI LTDA                                       ;07808907;202411;70043;1;84;219543,04;3;14,12961;180;670;36;14;5;362;98;207
ADM CONS SICREDI LTDA                                       ;07808907;202411;70044;1;80;107221,23;3;15,86511;200;571;15;13;4;480;40;154
ADM CONS SICREDI LTDA                                       ;07808907;202411;70045;1;78;474941,91;3;13,99401;180;685;16;17;4;338;63;205
ADM CONS SICREDI LTDA                                       ;07808907;202411;70046;1;78;217057,74;3;13,99910;180;667;29;23;5;374;71;190
ADM CONS SICREDI LTDA                                       ;07808907;202411;70047;1;77;107124,96;3;15,91223;200;552;21;27;6;467;56;137
ADM CONS SICREDI LTDA                                       ;07808907;202411;70048;1;74;105938,93;3;15,84975;200;558;14;27;2;478;43;149
ADM CONS SICREDI LTDA                                       ;07808907;202411;70049;1;72;208693,56;3;13,95087;180;670;28;19;6;409;67;192
ADM CONS SICREDI LTDA                                       ;07808907;202411;70050;1;69;107771,50;3;15,76123;200;551;20;29;6;471;27;150
ADM CONS SICREDI LTDA                                       ;07808907;202411;70051;1;67;478907,52;3;12,93616;180;839;28;31;6;412;52;255
ADM CONS SICREDI LTDA                                       ;07808907;202411;70052;1;67;212475,95;3;13,49264;180;819;43;37;6;486;63;247
ADM CONS SICREDI LTDA                                       ;07808907;202411;70053;1;66;102862,37;3;15,29882;200;548;15;32;5;484;23;154
ADM CONS SICREDI LTDA                                       ;07808907;202411;70054;1;63;101246,57;3;15,34908;200;548;17;32;2;422;32;135
ADM CONS SICREDI LTDA                                       ;07808907;202411;70055;1;58;115443,05;3;12,91803;180;830;26;36;9;572;40;200
ADM CONS SICREDI LTDA                                       ;07808907;202411;70056;1;56;258642,16;3;12,46095;180;816;31;46;10;463;50;244
ADM CONS SICREDI LTDA                                       ;07808907;202411;70057;1;56;557179,81;3;12,15405;180;818;36;41;5;451;41;261
ADM CONS SICREDI LTDA                                       ;07808907;202411;70058;1;52;106052,56;3;11,75309;180;832;20;40;4;495;46;213
ADM CONS SICREDI LTDA                                       ;07808907;202411;70059;1;49;239084,46;3;10,67892;180;833;21;42;8;354;37;215
ADM CONS SICREDI LTDA                                       ;07808907;202411;70060;1;49;104439,34;3;10,76384;180;842;17;34;8;450;24;194
ADM CONS SICREDI LTDA                                       ;07808907;202411;70061;1;47;501131,94;3;10,62974;180;816;30;52;9;322;23;223
ADM CONS SICREDI LTDA                                       ;07808907;202411;70062;1;47;101682,91;3;10,92764;180;822;11;57;9;500;20;216
ADM CONS SICREDI LTDA                                       ;07808907;202411;70063;1;45;236026,63;3;11,87118;180;818;16;54;6;449;14;217
ADM CONS SICREDI LTDA                                       ;07808907;202411;70064;1;41;104299,94;3;11,77282;180;827;18;46;8;550;15;147
ADM CONS SICREDI LTDA                                       ;07808907;202411;70065;1;39;234792,72;3;10,86818;180;824;13;46;9;363;15;170
ADM CONS SICREDI LTDA                                       ;07808907;202411;70066;1;38;511587,66;3;10,25100;180;809;23;58;9;354;17;205
ADM CONS SICREDI LTDA                                       ;07808907;202411;70067;1;36;99701,44;3;10,23235;180;820;16;58;10;379;15;140
ADM CONS SICREDI LTDA                                       ;07808907;202411;70068;1;34;225739,14;3;10,67005;180;813;18;59;7;337;10;154
ADM CONS SICREDI LTDA                                       ;07808907;202411;70069;1;32;499307,70;3;11,71527;180;807;10;62;11;369;8;161
ADM CONS SICREDI LTDA                                       ;07808907;202411;70070;1;30;97435,64;3;12,02427;180;803;8;74;6;468;9;121
ADM CONS SICREDI LTDA                                       ;07808907;202411;70071;1;29;225111,73;3;12,19046;180;808;11;68;9;351;7;157
ADM CONS SICREDI LTDA                                       ;07808907;202411;70072;1;25;96223,41;3;11,92274;180;796;7;78;5;382;10;109
ADM CONS SICREDI LTDA                                       ;07808907;202411;70073;1;25;477026,00;3;11,30346;180;754;21;103;10;277;4;128
ADM CONS SICREDI LTDA                                       ;07808907;202411;70074;1;24;206971,78;3;11,54805;180;772;13;77;7;323;4;130
ADM CONS SICREDI LTDA                                       ;07808907;202411;70075;1;20;90672,83;3;12,24891;180;798;4;90;5;300;2;99
ADM CONS SICREDI LTDA                                       ;07808907;202411;70076;1;20;204280,06;3;12,23705;180;803;6;73;10;285;3;113
ADM CONS SICREDI LTDA                                       ;07808907;202411;70077;1;20;458406,08;3;11,98829;180;798;8;77;5;268;0;117
ADM CONS SICREDI LTDA                                       ;07808907;202411;70078;1;17;92113,92;3;12,07868;180;809;1;83;5;243;0;89
ADM CONS SICREDI LTDA                                       ;07808907;202411;70079;1;17;208496,38;3;11,76643;180;805;5;66;7;216;1;93
ADM CONS SICREDI LTDA                                       ;07808907;202411;70080;1;17;463024,37;3;11,44808;180;790;6;68;6;211;3;83
ADM CONS SICREDI LTDA                                       ;07808907;202411;70081;1;14;92886,61;3;11,90371;180;817;1;70;7;200;0;76
ADM CONS SICREDI LTDA                                       ;07808907;202411;70082;1;14;203890,16;3;11,52229;180;835;2;55;10;173;3;70
ADM CONS SICREDI LTDA                                       ;07808907;202411;70083;1;14;466645,47;3;11,50416;180;799;3;67;11;173;2;81
ADM CONS SICREDI LTDA                                       ;07808907;202411;70084;1;12;445825,58;3;11,26343;180;772;2;75;3;165;1;53
ADM CONS SICREDI LTDA                                       ;07808907;202411;70085;1;12;193049,34;3;11,73567;180;823;4;70;9;192;1;60
ADM CONS SICREDI LTDA                                       ;07808907;202411;70086;1;11;89048,67;3;11,99764;180;796;2;87;5;180;0;53
ADM CONS SICREDI LTDA                                       ;07808907;202411;70087;1;10;449419,64;3;11,78214;180;812;3;69;8;133;0;49
ADM CONS SICREDI LTDA                                       ;07808907;202411;70088;1;9;197215,54;3;12,21675;180;825;1;72;10;137;0;55
ADM CONS SICREDI LTDA                                       ;07808907;202411;70089;1;8;87073,71;3;11,95400;180;828;0;59;10;121;0;48
ADM CONS SICREDI LTDA                                       ;07808907;202411;70090;1;7;452316,65;3;11,52977;180;784;0;61;5;103;0;33
ADM CONS SICREDI LTDA                                       ;07808907;202411;70091;1;6;249546,46;3;11,55395;180;835;1;56;7;73;0;32
ADM CONS SICREDI LTDA                                       ;07808907;202411;70092;1;6;114080,27;3;11,84815;180;800;0;84;5;94;0;31
ADM CONS SICREDI LTDA                                       ;07808907;202411;70093;1;6;576620,85;3;11,25828;180;802;2;54;8;66;0;35
ADM CONS SICREDI LTDA                                       ;07808907;202411;70094;1;5;255946,25;3;11,47922;180;808;2;67;7;56;0;25
ADM CONS SICREDI LTDA                                       ;07808907;202411;70095;1;4;115259,67;3;11,47194;180;820;0;62;7;45;0;25
ADM CONS SICREDI LTDA                                       ;07808907;202411;70096;1;2;564871,50;3;11,08047;180;818;0;31;6;12;0;11
ADM CONS SICREDI LTDA                                       ;07808907;202411;70097;1;2;246458,10;3;11,52696;180;848;1;41;7;11;0;13
ADM CONS SICREDI LTDA                                       ;07808907;202411;70098;1;2;114567,63;3;11,68783;180;856;0;38;6;17;0;11
ELDORADO ADM CONSORCIO                                      ;08570707;202411;907;1;103;139359,51;99;17,92949;150;202;31;1;1;513;42;18
ELDORADO ADM CONSORCIO                                      ;08570707;202411;908;1;46;135292,47;99;19,59516;180;307;7;37;2;535;3;16
PROMOVE                                                     ;09111444;202411;00400;1;30;163881,04;1;25,00000;180;290;4;443;1;2323;0;24
PROMOVE                                                     ;09111444;202411;00401;1;25;150524,59;1;25,00000;180;549;3;258;3;2032;0;20
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00800;1;105;338001,16;3;12,30914;160;745;46;8;5;521;260;98
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00801;1;92;243997,98;3;11,47613;160;739;47;10;4;522;143;104
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00802;1;88;352116,97;3;9,40207;180;744;43;12;7;480;145;103
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00803;1;87;241778,47;3;9,68170;160;738;36;24;4;547;168;119
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00804;1;73;305420,55;3;9,97090;180;734;39;26;4;600;73;122
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00805;1;66;543776,71;3;10,00210;180;535;28;33;4;383;49;87
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00806;1;56;427815,49;3;12,35370;240;886;17;71;7;1181;25;111
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00807;1;48;160141,69;3;13,46636;180;880;25;76;7;1146;24;132
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00808;1;44;454948,35;3;12,42404;240;858;18;85;8;1062;6;105
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00809;1;36;244337,72;3;12,34215;180;566;4;35;10;452;6;76
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00810;1;32;425585,69;3;12,76692;240;490;6;36;4;448;3;44
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00811;1;20;115195,55;3;11,24005;180;729;2;73;9;328;2;58
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00812;1;15;290782,35;3;12,20405;240;880;4;79;8;296;0;51
ADM CONS UNICOOB LTDA                                       ;12228808;202411;00813;1;8;335906,04;3;12,52336;200;530;0;48;2;130;0;22
CIMAVEL ADM CONS                                            ;13170428;202411;0I003;1;97;122142,42;3;20,00000;200;146;17;5;1;1226;53;39
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05026;1;135;150558,03;3;20,93109;150;570;25;0;0;1024;322;87
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05027;1;128;175316,96;3;19,59797;150;555;34;3;6;882;254;106
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05028;1;114;183425,11;3;19,05409;150;731;27;25;8;1070;156;132
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05029;1;101;296480,39;3;22,94741;180;646;33;35;7;1304;70;111
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05030;1;89;129057,12;3;21,25126;180;866;16;68;8;2207;40;146
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05031;1;69;247064,18;3;22,00101;180;897;12;80;5;947;17;102
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05032;1;70;112777,94;3;22,40583;180;842;17;102;4;1375;15;94
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05033;1;63;135474,65;3;21,94705;180;1261;24;134;6;1995;14;111
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05034;1;56;227029,25;3;21,15788;180;1376;9;83;8;1419;5;99
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05035;1;49;96181,70;3;19,48930;180;1330;12;134;6;1628;4;74
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05036;1;36;61850,65;3;22,96505;180;1273;8;179;5;1628;2;69
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05037;1;34;176901,22;3;21,70763;180;1227;6;147;7;1094;2;64
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05038;1;23;470585,99;3;20,96272;204;521;4;53;2;331;2;28
BR CONSÓRCIOS ADM. CONS. LTDA.                              ;14723388;202411;05039;1;19;131037,74;3;21,01686;180;360;1;78;1;333;0;22
